step,reward,throughput,avg_wait,score,task_id,episode_throughput,episode_avg_wait,corridor_sync_score,policy_stability,spillback_count,emergency_delay,total_in_transit,budget_remaining,rationale,oversight_interventions_count,max_starvation_time,travel_time_mean,travel_time_variance,throughput_efficiency,fairness_score,stability_index,recovery_time
0,0.6899857476882747,19.105,6.065,0.7829209706528767,easy_fixed,19.105,6.065,0.55,1.0,0,0.0,7.392,3.0,Maintained stable policy.,0,1.0,0.6167,0.1484,0.8532,0.5685,0.8972,0
1,0.524228251808094,6.752,8.523,0.7712560014867486,easy_fixed,25.857,7.294,0.55,1.0,0,0.0,10.117,3.0,"prioritizing corridors NW0->SW0, NE0->SE0.",0,2.0,0.7915,0.2313,0.5673,0.5743,0.8972,0
2,0.466862861483509,7.062,11.474,0.7632558062055592,easy_fixed,32.919,8.688,0.55,0.921,0,0.0,12.928,0.968,"Addressing corridor_formation; prioritizing corridors NE0->SE0, NW0->SW0.",0,3.0,0.9664,0.3333,0.4765,0.5848,0.8828,0
3,0.7276182823496583,37.634,10.305,0.7604805689722044,easy_fixed,70.553,9.092,0.55,0.842,0,0.0,5.537,0.0,"Addressing corridor_formation, load_balancing; prioritizing corridors NW0->SW0, NE0->SE0.",0,4.0,0.9038,0.4372,0.7551,0.4108,0.8288,0
4,0.3694903306250601,5.432,13.735,0.7509852389786684,easy_fixed,75.985,10.021,0.55,0.842,0,0.0,2.812,1.773,"Addressing corridor_formation, load_balancing.",0,5.0,1.1312,0.5659,0.6465,0.4404,0.8108,0
5,0.6439736060736312,38.019,11.961,0.7484859574660634,easy_fixed,114.005,10.344,0.25,0.737,0,0.0,19.22,0.481,"Addressing load_balancing, stability_control.",0,6.0,1.0137,0.7692,0.8046,0.3144,0.647,0
6,0.7576355352154073,39.538,9.356,0.7645129453781512,easy_fixed,153.543,10.203,0.55,0.81,0,0.0,40.551,0.0,"Addressing corridor_formation, load_balancing; prioritizing corridors SW3->SE3, SE1->SW1.",0,7.0,0.8503,0.6966,0.9257,0.2998,0.6156,0
7,0.6788502600442576,29.811,8.353,0.7493276442792501,easy_fixed,183.354,9.972,0.7,0.759,0,0.0,53.776,0.212,"Addressing corridor_formation, load_balancing; prioritizing corridors SW2->NW2, SE2->NE2.",0,8.0,0.7936,0.6019,0.9633,0.2207,0.5479,0
8,0.5754241042532502,19.432,10.1,0.7548386987718165,easy_fixed,202.786,9.986,0.7,0.843,0,0.0,35.574,0.463,"Addressing corridor_formation, load_balancing; prioritizing corridors NW3->NE3, SW2->NW2.",0,9.0,1.056,0.7969,0.9422,0.224,0.6005,0
9,0.5052230768523749,23.843,12.749,0.7244468993535877,easy_fixed,226.629,10.262,0.75,0.851,0,0.0,15.325,1.08,"Addressing corridor_formation, load_balancing.",0,10.0,1.2883,1.1153,0.946,0.2401,0.6524,0
10,0.5698514509151595,46.207,11.183,0.7151393462831287,easy_fixed,272.836,10.346,0.25,0.852,0,0.0,24.383,1.687,"Addressing corridor_formation, load_balancing.",0,10.0,1.2014,1.0935,1.032,0.3036,0.6674,0
11,0.5553039599235877,33.657,11.928,0.7270012204266322,easy_fixed,306.493,10.478,0.25,0.672,0,0.0,23.364,0.0,"Addressing spillback_prevention, corridor_formation; prioritizing corridors NW0->SW0, NE1->NW1; mitigating anticipatory spillback.",0,10.0,1.1142,0.5902,1.0612,0.2607,0.5609,0
12,0.5089233070615322,27.274,13.208,0.7271116450549451,easy_fixed,333.766,10.688,0.25,0.808,0,0.0,29.886,1.655,"Addressing corridor_formation, load_balancing.",0,10.0,1.0899,0.9395,1.0672,0.2375,0.641,0
13,0.6643797143688408,49.583,11.594,0.7361775318034907,easy_fixed,383.349,10.753,0.45,0.919,0,0.0,25.26,1.638,"Addressing corridor_formation, load_balancing; prioritizing corridors SE1->SW1.",0,11.0,1.0619,1.0658,1.1362,0.1748,0.7669,0
14,0.6847256858261442,49.178,8.79,0.7411292855850034,easy_fixed,432.528,10.622,0.25,0.852,0,0.0,36.332,0.127,"Addressing corridor_formation, load_balancing; prioritizing corridors SE2->NE2, SW3->SE3.",0,11.0,0.7905,0.3329,1.1979,0.2837,0.5885,0
15,0.5555048009182085,22.266,9.569,0.7492455676793794,easy_fixed,454.794,10.556,0.25,0.781,0,0.0,38.313,0.741,"Addressing corridor_formation, load_balancing; prioritizing corridors NE0->SE0.",0,11.0,0.8897,0.4983,1.1811,0.2609,0.7469,0
16,0.6683680327544828,27.685,9.198,0.7557537006464123,easy_fixed,482.479,10.476,0.7,0.793,0,0.0,40.848,0.0,"Addressing corridor_formation, load_balancing; prioritizing corridors NE0->SE0.",0,11.0,1.0299,0.821,1.1818,0.3297,0.5621,0
17,0.6692706414193736,38.167,9.072,0.7404055235940531,easy_fixed,520.647,10.398,0.25,0.829,0,0.0,41.081,0.386,"Addressing corridor_formation, load_balancing; prioritizing corridors NE1->NW1, SW2->NW2; mitigating anticipatory spillback.",0,11.0,0.9905,0.6279,1.2062,0.3615,0.5723,0
18,0.36762066016657174,12.416,12.159,0.7280149537815125,easy_fixed,533.063,10.491,0.25,0.829,0,0.0,35.811,0.066,"Addressing corridor_formation, load_balancing; prioritizing corridors NW0->SW0; mitigating anticipatory spillback.",0,11.0,1.205,1.2871,1.1725,0.352,0.6425,0
19,0.41170263720905975,16.841,14.98,0.7284851515190691,easy_fixed,549.904,10.715,1.0,0.746,0,0.0,27.411,0.0,"Addressing spillback_prevention, corridor_formation; prioritizing corridors NW0->SW0, NE1->NW1.",0,11.0,1.4841,1.7919,1.1515,0.3344,0.5917,0
20,0.5718833235836736,31.574,16.724,0.7371268182288301,easy_fixed,581.478,11.001,1.0,0.763,0,0.0,16.106,0.0,"Addressing spillback_prevention, corridor_formation; prioritizing corridors NW3->NE3, NE1->NW1; mitigating anticipatory spillback.",0,11.0,1.5054,2.2202,1.1634,0.3003,0.5685,0
21,0.5471349335960591,55.212,13.605,0.7322233834518423,easy_fixed,636.69,11.12,0.0,0.773,1,0.0,21.217,0.0,"Addressing spillback_prevention, corridor_formation.",0,11.0,1.1884,1.3318,1.2223,0.2146,0.6573,0
22,0.6588242380842741,43.724,11.867,0.738812015255333,easy_fixed,680.414,11.152,0.55,0.87,2,0.0,9.424,0.0,"Addressing spillback_prevention, corridor_formation; prioritizing corridors SE1->SW1.",0,11.0,1.0789,0.8464,1.2541,0.3323,0.6011,0
23,0.6029546893150247,29.444,11.333,0.7392253553975437,easy_fixed,709.858,11.16,0.3,0.823,2,0.0,18.953,0.0,"Addressing spillback_prevention, corridor_formation.",0,11.0,0.9921,0.7105,1.259,0.2643,0.5911,0
24,0.6099370465087239,27.795,10.685,0.7321433138332255,easy_fixed,737.653,11.141,0.55,0.891,2,0.0,30.152,0.0,"Addressing spillback_prevention, corridor_formation; prioritizing corridors SW3->SE3; mitigating anticipatory spillback.",0,11.0,1.0165,0.8013,1.262,0.2493,0.5871,0
25,0.6979065589870961,41.167,8.62,0.7363104897220427,easy_fixed,778.82,11.044,0.3,0.891,2,0.0,52.467,0.0,"Addressing spillback_prevention, corridor_formation; prioritizing corridors SE2->NE2, SW2->NW2.",0,11.0,0.8001,0.5194,1.2866,0.254,0.618,0
