step,switch_penalty,queue_urgency_weight,emergency_boost,corridor_priority,balance_penalty
0,1.1,1.3,0.0,1.0,1.0
1,1.1,1.3,0.0,1.0,1.0
2,1.1,1.3,0.0,1.3,1.0
3,1.1,1.6,0.0,1.6,1.0
4,1.1,1.9,0.0,1.3,1.0
5,1.5,2.2,0.0,1.0,1.0
6,1.9,2.177,0.0,1.3,1.0
7,2.297,1.957,0.0,1.6,1.0
8,2.081,1.877,0.0,1.9,1.0
9,1.848,1.91,0.0,1.6,1.0
10,1.448,2.043,0.0,1.57,1.0
11,1.1,2.343,0.0,1.87,1.3
12,1.1,2.214,0.0,1.57,1.0
13,1.1,1.999,0.0,1.663,1.0
14,1.1,2.262,0.0,1.963,1.0
15,1.5,1.962,0.0,1.83,1.0
16,1.9,1.877,0.0,2.13,1.0
17,2.279,1.796,0.0,1.939,1.0
18,2.081,1.949,0.0,2.239,1.0
19,1.681,2.132,0.0,2.158,1.3
20,1.456,2.287,0.0,1.939,1.6
21,1.505,2.499,0.0,1.639,1.9
22,1.539,2.304,0.0,1.781,1.776
23,1.84,2.323,0.0,1.481,1.829
24,1.802,2.159,0.0,1.652,1.787
25,1.705,2.157,0.0,1.86,1.678
26,1.51,2.164,0.0,2.122,1.604
27,1.641,2.283,0.0,1.822,1.857
28,1.584,2.345,0.0,1.704,1.767
29,1.558,2.487,0.0,1.681,1.674
30,1.584,2.239,0.0,1.981,1.542
31,1.86,2.318,0.0,1.681,1.808
32,1.765,2.148,0.0,1.78,1.707
33,1.707,2.157,0.0,1.856,1.68
34,1.722,1.857,0.0,1.556,1.38
35,1.794,1.557,0.0,1.856,1.08
36,1.794,1.3,0.0,1.733,1.0
37,1.848,1.3,0.0,1.684,1.0
38,1.448,1.6,0.0,1.733,1.0
39,1.1,1.9,0.0,1.433,1.3
40,1.1,2.166,0.0,1.404,1.0
41,1.1,1.987,0.0,1.704,1.0
42,1.1,1.905,0.0,2.004,1.0
43,1.1,1.605,0.0,1.704,1.0
44,1.5,1.305,0.0,1.644,1.0
45,1.1,1.3,0.0,1.499,1.0
46,1.1,1.3,0.0,1.799,1.0
47,1.1,1.6,0.0,2.099,1.0
48,1.1,1.9,0.0,1.799,1.3
49,1.5,2.2,0.0,1.499,1.0
50,1.1,2.086,0.0,1.799,1.0
51,1.5,1.786,0.0,1.499,1.0
52,1.9,1.486,0.0,1.799,1.0
53,2.279,1.3,0.0,2.099,1.0
54,2.279,1.3,0.0,2.225,1.0
55,1.879,1.6,0.0,2.525,1.0
56,1.479,1.9,0.0,2.225,1.3
57,1.326,2.2,0.0,1.925,1.6
58,1.1,2.5,0.0,1.625,1.9
59,1.1,2.635,0.0,1.621,2.044
60,1.1,2.364,0.0,1.921,1.814
61,1.1,2.385,0.0,2.022,1.893
62,1.1,2.085,0.0,1.722,2.1
63,1.1,1.785,0.0,1.719,1.8
64,1.1,1.485,0.0,2.019,1.5
65,1.5,1.785,0.0,2.055,1.2
66,1.1,2.085,0.0,1.765,1.5
67,1.1,2.385,0.0,2.065,1.747
68,1.1,2.588,0.0,1.765,1.954
69,1.1,2.361,0.0,1.5,2.1
70,1.1,2.354,0.0,1.8,1.8
71,1.1,2.054,0.0,1.5,1.5
72,1.1,1.754,0.0,1.8,1.2
73,1.1,2.054,0.0,2.1,1.0
74,1.1,2.052,0.0,1.8,1.0
75,1.1,2.044,0.0,2.015,1.0
76,1.1,2.344,0.0,1.715,1.3
77,1.1,2.336,0.0,2.015,1.6
78,1.1,2.403,0.0,1.938,1.9
79,1.1,2.103,0.0,1.638,1.6
80,1.1,1.803,0.0,1.595,1.3
81,1.1,1.966,0.0,1.895,1.0
82,1.1,1.899,0.0,2.189,1.0
83,1.1,2.053,0.0,2.489,1.0
84,1.1,2.109,0.0,2.292,1.0
85,1.1,2.409,0.0,2.129,1.3
86,1.1,2.458,0.0,2.045,1.6
87,1.1,2.412,0.0,1.745,1.9
88,1.1,2.112,0.0,1.828,1.6
89,1.1,2.412,0.0,1.528,1.9
90,1.1,2.112,0.0,1.828,1.6
91,1.1,2.222,0.0,2.128,1.3
92,1.5,2.053,0.0,2.428,1.0
93,1.639,2.176,0.0,2.128,1.3
94,1.988,2.275,0.0,2.137,1.0
95,1.991,2.321,0.0,1.837,1.0
96,1.591,2.158,0.0,2.137,1.0
97,1.191,1.858,0.0,1.837,1.0
98,1.1,2.158,0.0,1.741,1.3
