step,NE_L0,NE_L1,NE_L2,NE_L3,NW_L0,NW_L1,NW_L2,NW_L3,SE_L0,SE_L1,SE_L2,SE_L3,SW_L0,SW_L1,SW_L2,SW_L3
0,0.0,3.49,5.12,3.86,0.0,5.34,5.45,3.29,0.0,4.32,3.99,5.57,0.0,4.9,6.61,6.02
1,0.0,4.8,6.86,5.15,0.0,6.75,6.82,4.63,0.0,5.74,5.4,6.82,0.0,6.14,8.04,7.26
2,0.0,6.19,8.59,6.41,0.0,8.02,8.22,6.02,0.0,7.07,7.02,8.05,0.0,7.43,9.35,8.48
3,2.02,7.68,0.0,7.7,1.81,0.0,9.76,7.26,5.39,8.29,8.68,0.0,5.78,0.0,10.74,9.85
4,3.95,9.11,0.0,9.1,3.59,0.0,11.42,8.56,8.49,9.73,10.3,0.0,8.91,0.0,12.1,11.06
5,5.7,10.5,0.0,10.59,5.41,1.38,0.0,9.8,11.62,0.0,11.76,1.44,12.18,1.31,13.59,0.0
6,7.55,11.85,1.53,0.0,7.17,2.78,0.0,11.22,13.43,1.34,0.51,2.8,14.04,2.5,2.01,1.19
7,9.44,13.21,3.25,0.0,8.89,4.19,1.61,0.0,2.95,2.63,2.2,4.1,15.76,3.84,0.0,2.52
8,11.62,14.5,5.03,0.0,10.95,5.42,3.25,0.0,0.0,3.94,3.69,15.48,5.88,14.35,1.41,3.74
9,13.58,15.99,17.2,0.0,12.79,6.78,15.52,0.0,1.99,5.25,5.33,3.34,0.0,15.59,2.84,4.91
10,15.69,4.03,18.9,11.67,0.97,8.23,20.07,1.27,3.88,6.55,6.98,0.0,1.63,2.59,4.38,6.1
11,17.68,5.46,6.87,14.07,2.75,9.63,6.79,2.52,5.83,7.98,8.63,0.0,3.33,0.0,5.9,7.29
12,19.63,7.02,0.0,16.43,4.72,11.07,0.0,3.84,7.55,0.0,10.09,1.31,5.03,0.0,7.3,8.47
13,21.51,8.48,1.74,4.4,6.76,8.96,1.63,5.26,9.25,1.28,0.0,2.57,18.08,1.19,8.72,0.0
14,9.86,9.98,3.44,5.76,8.52,0.0,3.2,6.55,0.0,2.49,1.57,3.76,5.63,2.38,10.0,1.18
15,0.0,11.27,5.07,7.06,10.55,0.0,4.57,7.97,0.0,3.9,3.09,5.12,0.0,11.16,11.53,2.33
16,1.96,0.0,16.26,8.29,12.56,0.0,6.19,9.14,0.0,5.09,4.6,14.38,1.61,12.39,0.85,3.5
17,3.74,0.0,17.67,9.67,2.1,1.41,7.58,10.52,12.8,6.46,6.16,3.17,3.17,1.62,2.28,4.74
18,5.76,0.0,19.05,11.09,0.0,2.82,9.15,11.7,23.98,7.77,7.66,0.0,4.75,0.0,3.61,5.91
19,7.44,0.0,20.63,12.26,1.87,14.4,20.34,0.0,25.84,9.0,9.14,0.0,6.45,0.0,4.98,7.16
20,9.1,1.42,22.06,0.0,3.67,1.01,21.9,1.15,27.37,10.34,10.52,0.0,18.29,0.0,6.4,8.29
21,10.75,2.72,9.27,1.18,5.26,3.32,7.89,2.28,28.85,0.0,11.76,1.28,8.95,1.25,7.6,9.34
22,12.51,3.98,0.0,13.17,6.98,5.7,0.0,3.42,17.33,1.17,13.12,2.43,0.0,2.39,8.8,10.41
23,14.13,5.2,0.0,14.44,8.66,6.88,0.0,4.64,3.64,2.26,14.35,3.66,1.68,3.53,10.19,0.0
24,15.71,6.38,0.0,15.73,10.13,8.01,0.0,5.85,5.21,3.44,1.96,4.91,3.07,14.14,0.0,1.01
25,5.09,7.69,1.28,16.94,0.0,9.15,1.28,7.1,6.71,4.5,0.0,5.97,4.65,1.32,1.35,2.18
26,6.79,9.04,2.76,3.56,1.61,0.0,2.68,8.2,8.25,5.66,0.0,16.67,6.16,0.0,2.57,3.36
27,8.53,10.25,15.46,0.0,3.18,0.0,13.49,9.44,9.69,6.85,1.35,2.17,7.55,0.0,3.8,4.36
28,10.07,11.6,19.56,0.0,4.74,1.24,0.0,10.66,21.33,8.03,2.7,0.0,18.57,0.0,4.96,5.41
29,11.75,0.0,21.92,1.23,6.21,2.52,1.41,0.0,8.82,9.21,4.07,1.25,5.8,1.15,6.16,6.5
30,13.44,1.23,10.04,2.39,7.77,3.59,2.72,0.0,0.0,10.35,5.42,2.38,0.0,2.17,7.42,7.6
